[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	sjw	
Date/Time	2/3/2026 5:04:49 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	IC	KW_1_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:40:33 PM	1	3	IC	118.7	30.10	IC:30.05mg/L	0	50	
Unknown	IC	KW_1_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:46:49 PM	1	1	IC	118.7	30.10	IC:29.91mg/L	0	50	
Unknown	IC	KW_1_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:49:21 PM	1	2	IC	117.2	29.74	IC:29.91mg/L	0	50	
Unknown	IC	KW_1_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:51:53 PM	1	3	IC	117.8	29.89	IC:29.91mg/L	0	50	
Unknown	IC	KW_2_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 6:58:12 PM	1	1	IC	119.3	30.24	IC:30.11mg/L	0	50	
Unknown	IC	KW_2_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:00:44 PM	1	2	IC	118.8	30.12	IC:30.11mg/L	0	50	
Unknown	IC	KW_2_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:03:15 PM	1	3	IC	118.1	29.96	IC:30.11mg/L	0	50	
Unknown	IC	KW_2_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:09:34 PM	1	1	IC	119.9	30.38	IC:30.64mg/L	0	50	
Unknown	IC	KW_2_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:12:05 PM	1	2	IC	119.4	30.27	IC:30.64mg/L	0	50	
Unknown	IC	KW_2_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:14:40 PM	1	3	IC	123.6	31.26	IC:30.64mg/L	0	50	
Unknown	IC	KW_3_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:20:52 PM	1	1	IC	119.9	30.38	IC:30.27mg/L	0	50	
Unknown	IC	KW_3_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:23:22 PM	1	2	IC	119.2	30.22	IC:30.27mg/L	0	50	
Unknown	IC	KW_3_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:25:54 PM	1	3	IC	119.1	30.19	IC:30.27mg/L	0	50	
Unknown	IC	KW_3_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:32:14 PM	1	1	IC	121.0	30.65	IC:30.29mg/L	0	50	
Unknown	IC	KW_3_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:34:56 PM	1	2	IC	117.9	29.91	IC:30.29mg/L	0	50	
Unknown	IC	KW_3_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:37:26 PM	1	3	IC	119.6	30.31	IC:30.29mg/L	0	50	
Unknown	IC	KW_4_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:43:42 PM	1	1	IC	138.2	34.73	IC:30.76mg/L	1	50	
Unknown	IC	KW_4_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:46:26 PM	1	2	IC	122.7	31.05	IC:30.76mg/L	0	50	
Unknown	IC	KW_4_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:49:01 PM	1	3	IC	120.6	30.55	IC:30.76mg/L	0	50	
Unknown	IC	KW_4_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:51:32 PM	1	4	IC	121.1	30.67	IC:30.76mg/L	0	50	
Unknown	IC	KW_4_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 7:58:14 PM	1	1	IC	124.1	31.38	IC:30.96mg/L	0	50	
Unknown	IC	KW_4_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 8:00:45 PM	1	2	IC	121.9	30.86	IC:30.96mg/L	0	50	
Unknown	IC	KW_4_B	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 8:03:16 PM	1	3	IC	121.0	30.65	IC:30.96mg/L	0	50	
Unknown	IC	KW_5_A	Untitled	C:\TOC-L\Methods\BGC_DIC_200mgL_2024_24ml.met	C:\TOC-L\CalCurves\BGC_DIC200_20260202.2026_02_02_14_50_30.cal	1.00		2/2/2026 8:09:35 PM	1	1	IC	120.9	30.62	IC:30.38mg/L	0	50	
