[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	3/19/2026 10:04:58 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	Chk_Std_1C_1N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:33:57 PM	1	5	TN	12.25	0.8346	NPOC:0.9647mg/L TN:0.8348mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:43:02 PM	1	1	NPOC	1.089	-0.2056	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:46:54 PM	1	2	NPOC	1.006	-0.2277	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:51:08 PM	1	3	NPOC	1.373	-0.1297	NPOC:-0.2066mg/L TN:-0.05098mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260313.2026_03_13_17_57_20.cal	1.00		3/17/2026 5:54:56 PM	1	4	NPOC	1.161	-0.1863	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:43:02 PM	1	1	TN	0.000	-0.05098	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:46:54 PM	1	2	TN	0.000	-0.05098	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260313.2026_03_13_21_17_15.cal	1.00		3/17/2026 5:51:08 PM	1	3	TN	0.000	-0.05098	NPOC:-0.2066mg/L TN:-0.05098mg/L	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:05:48 PM	1	1	NPOC	0.9252	0.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:09:38 PM	1	2	NPOC	1.532	0.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:13:26 PM	1	3	NPOC	0.9386	0.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:17:14 PM	1	4	NPOC	1.092	0.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:28:44 PM	2	1	NPOC	2.624	0.5000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:32:37 PM	2	2	NPOC	2.720	0.5000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:36:30 PM	2	3	NPOC	2.592	0.5000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:47:18 PM	3	1	NPOC	4.878	1.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:51:07 PM	3	2	NPOC	4.991	1.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:54:56 PM	3	3	NPOC	4.633	1.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 6:58:45 PM	3	4	NPOC	4.625	1.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 7:02:34 PM	3	5	NPOC	6.625	1.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 7:14:01 PM	4	1	NPOC	20.67	5.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 7:18:01 PM	4	2	NPOC	21.45	5.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 7:21:54 PM	4	3	NPOC	21.62	5.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260317.2026_03_17_17_54_56.cal		1.00		3/17/2026 7:25:50 PM	4	4	NPOC	21.53	5.000	 	0	50	
