"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"GCW","W","2023-01-03 07:15:00","LI-190R",,,,1.013,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 07:30:00","LI-190R",,,,6.114,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 07:45:00","LI-190R",,,,17.08,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 08:00:00","LI-190R",,,,46.31,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 08:15:00","LI-190R",,,,107.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 08:30:00","LI-190R",,,,170.3,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 08:45:00","LI-190R",,,,309.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 09:00:00","LI-190R",,,,361.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 09:15:00","LI-190R",,,,300.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 09:30:00","LI-190R",,,,205.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 09:45:00","LI-190R",,,,216.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 10:00:00","LI-190R",,,,241.9,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 10:15:00","LI-190R",,,,235.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 10:30:00","LI-190R",,,,295.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 10:45:00","LI-190R",,,,211.9,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 11:00:00","LI-190R",,,,151.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 11:15:00","LI-190R",,,,97.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 11:30:00","LI-190R",,,,97.1,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 11:45:00","LI-190R",,,,148.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 12:00:00","LI-190R",,,,269.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 12:15:00","LI-190R",,,,218.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 12:30:00","LI-190R",,,,251,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 12:45:00","LI-190R",,,,237.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 13:00:00","LI-190R",,,,309.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 13:15:00","LI-190R",,,,340.5,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 13:30:00","LI-190R",,,,426.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 13:45:00","LI-190R",,,,383.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 14:00:00","LI-190R",,,,314.7,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 14:15:00","LI-190R",,,,349.9,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 14:30:00","LI-190R",,,,281.9,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 14:45:00","LI-190R",,,,190.2,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 15:00:00","LI-190R",,,,181.8,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 15:15:00","LI-190R",,,,203.4,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 15:30:00","LI-190R",,,,187.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 15:45:00","LI-190R",,,,129.9,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 16:00:00","LI-190R",,,,90.6,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 16:15:00","LI-190R",,,,72.91,"wx-par-den15","0fc57275",,0,
"GCW","W","2023-01-03 16:30:00","LI-190R",,,,45.46,"wx-par-den15","0fc57275",,0,
